,Arrests,BusShelters,Restaurants,Landmarks,Count Blue Collar
SI07,28.0,9.0,3.0,3.0,3454.0
SI08,66.0,8.0,0.0,79.0,3326.0
SI11,130.0,2.0,44.0,29.0,3905.0
SI12,373.0,16.0,0.0,3.0,4511.0
SI14,36.0,11.0,0.0,4.0,2190.0
SI22,466.0,21.0,25.0,147.0,4077.0
SI24,75.0,10.0,10.0,112.0,5545.0
SI25,29.0,11.0,4.0,2.0,3387.0
SI28,78.0,5.0,21.0,6.0,3302.0
SI32,26.0,1.0,0.0,5.0,3637.0
SI35,45.0,7.0,32.0,4.0,2414.0
SI36,55.0,14.0,16.0,1.0,4149.0
SI37,138.0,25.0,78.0,90.0,4392.0
SI45,167.0,23.0,55.0,1.0,3290.0
SI48,18.0,4.0,0.0,0.0,4273.0
SI54,46.0,13.0,33.0,1.0,6628.0
SI99,0.0,4.0,0.0,0.0,0.0
